$1000052,1621595604,904,R64K,1705,0,26,69,154,61.8944876916667,6.69675758666667
$1000052,1621595738,859,R64K,1705,0,26,69,156,61.8950212233333,6.69733678
$1000052,1621595858,818,R64K,1705,0,27,69,158,61.89549993,6.69786896
$1000052,1621596001,777,R64K,1705,0,26,69,160,61.896072045,6.69850300833333
$1000052,1621596134,731,R64K,1705,0,36,69,161,61.8965932,6.699097305
$1000052,1621596274,670,R64K,1705,0,37,69,162,61.8971387266667,6.69973746333333
$1000052,1621596439,603,R64K,1705,0,24,69,164,61.8977949716667,6.70038295666667
$1000052,1621596583,563,R64K,1705,0,24,69,165,61.898430475,6.70038475166667
$1000052,1621596745,507,R64K,1705,0,30,69,167,61.8991248666667,6.70058985
$1000052,1621596900,457,R64K,1705,0,31,69,169,61.899643255,6.70160291666667
$1000052,1621597732,679,R64K,1705,0,23,69,172,61.89647854,6.70316779666667
$1000052,1621598211,858,R64K,1705,0,21,69,175,61.8943391033333,6.70273540333333
$1000052,1621599289,923,R64K,1705,0,33,69,179,61.8938087283333,6.70107027833333
$1000052,1621600078,988,R64K,1705,0,14,69,183,61.89324518,6.698785805
$1000052,1621600217,28,R64K,1705,0,30,69,185,61.8927762533333,6.69795198333333
$1000052,1621600680,168,R64K,1705,0,18,69,187,61.8911792366667,6.695123385
$1000052,1621600812,216,R64K,1705,0,23,69,189,61.8907233216667,6.69432396666667
$1000052,1621600983,276,R64K,1705,0,19,69,190,61.89012909,6.69329186
$1000052,1621601776,259,R64K,1705,0,18,69,194,61.8906068316667,6.69222328833333
$1000052,1621601916,213,R64K,1705,0,21,69,195,61.8911664533333,6.69285641
$1000052,1621603100,798,R64K,1705,0,29,69,200,61.8958038583333,6.69822150666667
$1000052,1621603229,754,R64K,1705,0,31,69,202,61.89631138,6.69879634666667
$1000052,1621603374,704,R64K,1705,0,33,69,203,61.896883035,6.69945213
$1000052,1621603679,604,R64K,1705,0,23,69,205,61.8981452983333,6.700391775
$1000052,1621603823,561,R64K,1705,0,32,69,207,61.8987941066667,6.700405435
$1000052,1621603985,506,R64K,1705,0,41,69,209,61.899406445,6.70109418333333
$1000052,1621604144,467,R64K,1705,0,30,69,213,61.89963607,6.70244853
$1000052,1621604293,500,R64K,1705,0,29,69,215,61.899156845,6.70337317833333
$1000052,1621604876,552,R64K,1705,0,35,69,219,61.8990956833333,6.70049233833333
$1000052,1621605005,512,R64K,1705,0,38,69,222,61.8995276633333,6.70129653666667
$1000052,1621605289,517,R64K,1705,0,23,69,225,61.8991709383333,6.70329615666667
$1000052,1621605707,590,R64K,1705,0,25,69,229,61.8985152266667,6.701312135
$1000052,1621605867,578,R64K,1705,0,29,69,231,61.89892922,6.700492555
$1000052,1621606014,529,R64K,1705,0,32,69,234,61.89945925,6.70119323666667
$1000052,1621606325,526,R64K,1705,0,25,69,237,61.899106745,6.70340079666667
$1000052,1621606447,565,R64K,1705,0,27,69,238,61.89865287,6.70333920166667
$1000052,1621606903,580,R64K,1705,0,38,69,242,61.8990689383333,6.70047506666667
